"","Country","Gender","Age","EmploymentStatus","EmployerIndustry","FormalEducation","Major","CompensationAmount","CompensationCurrency","CurrentJobTitle","TitleFit","LanguageRecommendation","DataScienceIdentity","WorkDataVisualizations","JobSatisfaction","JobSatisfaction2"
"1938","India","Female",24,"Employed full-time","Academic","Doctoral degree","Computer Science",360000,"INR","Researcher","Fine","Python","Yes","10-25% of projects","4",4
"1939","Kenya","Male",23,"Employed full-time","Financial","Bachelor's degree","Mathematics or statistics",20000,"KES","Data Analyst","Fine","R","No","10-25% of projects","3",3
"1940","United States","Male",40,"Employed full-time","Internet-based","Bachelor's degree","Computer Science",135000,"USD","DBA/Database Engineer","Fine","Python","No","76-99% of projects","7",7
"1941","Japan","Male",67,"Employed full-time","Academic","Doctoral degree","Computer Science",1.2e+07,"JPY","Researcher","Perfectly","Python","No","51-75% of projects","9",9
"1942","Brazil","Male",38,"Employed full-time","Technology","Bachelor's degree","Computer Science",80000,"BRL","Software Developer/Software Engineer","Fine","Scala","Yes","Less than 10% of projects","1 - Highly Dissatisfied",1
"1943","Pakistan","Male",30,"Employed full-time","Academic","Master's degree","Electrical Engineering",1e+05,"PKR","Researcher","Perfectly","Python","Yes","10-25% of projects","7",7
"1944","Ireland","Male",30,"Employed full-time","Financial","Bachelor's degree","Computer Science",65000,"EUR","DBA/Database Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","1 - Highly Dissatisfied",1
"1945","Argentina","Male",48,"Employed full-time","Mix of fields","Some college/university study without earning a bachelor's degree","Information technology, networking, or system administration",6e+05,"ARS","Software Developer/Software Engineer","Fine","SQL","No","76-99% of projects","9",9
"1946","Other","Female",39,"Employed full-time","Financial","Master's degree","Mathematics or statistics",1e+05,"EUR","Predictive Modeler","Perfectly","R","Yes","100% of projects","9",9
"1947","United States","Male",29,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",27500,"USD","Scientist/Researcher","Perfectly","Python","Yes","26-50% of projects","3",3
"1948","Other","Male",35,"Employed full-time","Government","Master's degree","Mathematics or statistics",5e+06,"XOF","Data Analyst","Fine","Python","Sort of (Explain more)","26-50% of projects","4",4
"1949","Argentina","Female",46,"Employed full-time","Technology","Doctoral degree","Physics",20000,"USD","Researcher","Poorly","Python","No","76-99% of projects","1 - Highly Dissatisfied",1
"1950","United States","Male",49,"Employed full-time","Internet-based","Master's degree","Mathematics or statistics",70000,"USD","DBA/Database Engineer","Fine","C/C++/C#","Yes","26-50% of projects","10 - Highly Satisfied",10
"1951","Iran","Male",23,"Independent contractor, freelancer, or self-employed","Technology","Doctoral degree","Computer Science",7e+08,"IRR","Researcher","Fine","Python","Yes","51-75% of projects","8",8
"1952","Canada","Male",38,"Employed full-time","Academic","Doctoral degree","Psychology",65000,"CAD","Scientist/Researcher","Fine","R","Yes","51-75% of projects","1 - Highly Dissatisfied",1
"1953","India","Male",34,"Employed full-time","CRM/Marketing","Master's degree","Mathematics or statistics",2100000,"INR","Statistician","Fine","SAS","Yes","51-75% of projects","8",8
"1954","Other","Male",40,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","A social science",30000,"EUR","Other","Fine","Python","Yes","100% of projects","10 - Highly Satisfied",10
"1955","United States","Female",47,"Employed full-time","CRM/Marketing","Bachelor's degree","Electrical Engineering",130000,"USD","Business Analyst","Fine","SQL","Sort of (Explain more)","76-99% of projects","5",5
"1956","France","Male",40,"Employed full-time","CRM/Marketing","Master's degree","Mathematics or statistics",72000,"EUR","Data Analyst","Poorly","Python","No","10-25% of projects","7",7
"1957","South Africa","Female",26,"Employed full-time","Mix of fields","Master's degree","Mathematics or statistics",4e+05,"ZAR","Data Analyst","Fine","SAS","Yes","10-25% of projects","7",7
"1958","Japan","Male",31,"Employed full-time","Financial","Master's degree","Physics",7500000,"JPY","Predictive Modeler","Poorly","R","Sort of (Explain more)","26-50% of projects","7",7
"1959","India","Male",24,"Employed full-time","Technology","Bachelor's degree","Computer Science",1600000,"INR","Machine Learning Engineer","Perfectly","Python","Sort of (Explain more)","26-50% of projects","7",7
"1960","India","Female",23,"Employed full-time","Other","Bachelor's degree","Computer Science",12000,"INR","Engineer","Perfectly","Python","Sort of (Explain more)","10-25% of projects","5",5
"1961","United States","Male",37,"Employed full-time","Other","Bachelor's degree","Electrical Engineering",132000,"USD","Software Developer/Software Engineer","Perfectly","Python","Sort of (Explain more)","76-99% of projects","1 - Highly Dissatisfied",1
"1962","United States","Male",32,"Employed full-time","Technology","Master's degree","A social science",120000,"USD","Machine Learning Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","5",5
"1963","Italy","Male",39,"Employed full-time","Internet-based","Doctoral degree","Engineering (non-computer focused)",60000,"EUR","Scientist/Researcher","Poorly","Python","Sort of (Explain more)","51-75% of projects","8",8
"1964","Finland","Male",27,"Employed full-time","Academic","Master's degree","Mathematics or statistics",30000,"EUR","Scientist/Researcher","Perfectly","Python","Yes","100% of projects","8",8
"1965","United States","Male",27,"Employed full-time","Manufacturing","Master's degree","Engineering (non-computer focused)",47000,"USD","Engineer","Fine","R","Yes","100% of projects","3",3
"1966","United States","Male",54,"Employed full-time","Financial","Master's degree","Management information systems",170000,"USD","Other","Fine","Python","Yes","76-99% of projects","7",7
"1967","United States","Female",52,"Independent contractor, freelancer, or self-employed","Retail","Master's degree","Computer Science",110000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","100% of projects","8",8
"1968","Poland","Male",27,"Employed full-time","Financial","Master's degree","Computer Science",36000,"PLN","Data Analyst","Fine","Python","No","26-50% of projects","5",5
"1969","United States","Male",29,"Employed full-time","Other","Doctoral degree","Other",50000,"USD","Engineer","Fine","Python","Sort of (Explain more)","76-99% of projects","6",6
"1970","France","Male",40,"Employed full-time","Telecommunications","Master's degree","Mathematics or statistics",60000,"EUR","Engineer","Perfectly","Python","Yes","10-25% of projects","5",5
"1971","Netherlands","Male",47,"Employed part-time","Other","I prefer not to answer","Computer Science",75000,"EUR","Software Developer/Software Engineer","Poorly","R","Yes","100% of projects","9",9
"1972","Greece","Male",26,"Employed full-time","Mix of fields","Master's degree","Electrical Engineering",25000,"EUR","Business Analyst","Poorly","Python","Sort of (Explain more)","76-99% of projects","8",8
"1973","France","Male",63,"Employed full-time","Insurance","Master's degree","Management information systems",80000,"EUR","Software Developer/Software Engineer","Fine","C/C++/C#","No","None","7",7
"1974","United States","Male",36,"Independent contractor, freelancer, or self-employed","Mix of fields","Master's degree","Computer Science",75000,"USD","Engineer","Poorly","Python","Yes","10-25% of projects","5",5
"1975","Brazil","Male",33,"Employed full-time","Financial","Master's degree","Engineering (non-computer focused)",5e+05,"BRL","Other","Fine","R","No","10-25% of projects","9",9
"1976","Germany","Male",40,"Employed full-time","Mix of fields","Doctoral degree","Computer Science",70000,"EUR","Machine Learning Engineer","Fine","Python","Yes","100% of projects","7",7
"1977","Canada","Male",35,"Employed full-time","Financial","Master's degree","Engineering (non-computer focused)",1e+05,"CAD","Data Analyst","Fine","SAS","Yes","Less than 10% of projects","3",3
"1978","Colombia","Male",32,"Employed full-time","Academic","Master's degree","Engineering (non-computer focused)",4.2e+07,"COP","Researcher","Fine","R","Sort of (Explain more)","51-75% of projects","7",7
"1979","Colombia","Female",24,"Employed full-time","Technology","Bachelor's degree","Computer Science",28400000,"COP","Data Analyst","Fine","Python","Sort of (Explain more)","26-50% of projects","7",7
"1980","Brazil","Male",33,"Independent contractor, freelancer, or self-employed","Academic","Master's degree","Electrical Engineering",50000,"RSD","Engineer","Fine","R","No","10-25% of projects","5",5
"1981","United States","Male",44,"Employed full-time","Technology","Master's degree","Electrical Engineering",75000,"USD","Software Developer/Software Engineer","Fine","Python","Yes","76-99% of projects","8",8
"1982","Mexico","Male",22,"Employed full-time","Manufacturing","Bachelor's degree","Information technology, networking, or system administration",240000,"MXN","Data Analyst","Fine","R","Yes","51-75% of projects","8",8
"1983","Russia","Male",36,"Employed full-time","Financial","Master's degree","Computer Science",48000,"USD","Software Developer/Software Engineer","Perfectly","Python","Sort of (Explain more)","26-50% of projects","6",6
"1984","France","Male",23,"Employed full-time","Academic","Master's degree","Other",75000,"USD","Scientist/Researcher","Fine","Python","Sort of (Explain more)","26-50% of projects","8",8
"1985","United States","Male",38,"Employed full-time","Academic","Master's degree","Mathematics or statistics",45000,"USD","Statistician","Perfectly","R","Yes","51-75% of projects","8",8
"1986","United States","Male",59,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",1e+05,"USD","Scientist/Researcher","Poorly","Python","Sort of (Explain more)","100% of projects","5",5
"1987","United Kingdom","Male",52,"Employed full-time","Other","Master's degree","Other",1e+05,"GBP","Other","Fine","Python","Sort of (Explain more)","51-75% of projects","10 - Highly Satisfied",10
"1988","Canada","Male",41,"Employed full-time","Mix of fields","Bachelor's degree","A social science",105000,"CAD","Other","Poorly","SQL","No","100% of projects","3",3
"1989","Other","Male",32,"Independent contractor, freelancer, or self-employed","Academic","Bachelor's degree","Mathematics or statistics",15000,"PEN","Data Miner","Perfectly","Python","Yes","76-99% of projects","5",5
"1990","United States","Male",60,"Employed full-time","Internet-based","Bachelor's degree","Electrical Engineering",225000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","76-99% of projects","8",8
"1991","United States","Male",44,"Employed full-time","Government","Doctoral degree","Engineering (non-computer focused)",135000,"USD","Other","Fine","Python","Sort of (Explain more)","10-25% of projects","9",9
"1992","Russia","Female",25,"Employed full-time","Financial","Master's degree","Mathematics or statistics",1080000,"RUB","Software Developer/Software Engineer","Perfectly","Python","No","10-25% of projects","8",8
"1993","Russia","Male",28,"Employed full-time","Mix of fields","Master's degree","Mathematics or statistics",864000,"RUB","Software Developer/Software Engineer","Fine","Python","No","Less than 10% of projects","6",6
"1994","South Africa","Male",38,"Employed full-time","Insurance","Some college/university study without earning a bachelor's degree","Information technology, networking, or system administration",10000,"AED","DBA/Database Engineer","Perfectly","SQL","Yes","10-25% of projects","10 - Highly Satisfied",10
"1995","Colombia","Male",29,"Employed full-time","Telecommunications","Master's degree","Computer Science",8.4e+07,"COP","Machine Learning Engineer","Fine","Python","Yes","100% of projects","8",8
"1996","United States","Male",28,"Employed full-time","Other","Master's degree","Engineering (non-computer focused)",72000,"SDG","Data Analyst","Fine","Python","Sort of (Explain more)","100% of projects","2",2
"1997","Australia","Male",30,"Employed full-time","CRM/Marketing","Master's degree","A social science",70000,"AUD","Business Analyst","Poorly","Python","Sort of (Explain more)","100% of projects","6",6
"1998","United States","Male",41,"Employed full-time","Financial","Master's degree","Mathematics or statistics",130000,"USD","Other","Fine","Python","No","Less than 10% of projects","3",3
"1999","Indonesia","Male",24,"Employed full-time","Other","Bachelor's degree","Computer Science",6.6e+07,"IDR","Software Developer/Software Engineer","Perfectly","Python","No","None","8",8
"2000","Turkey","Male",28,"Employed full-time","Retail","Master's degree","Mathematics or statistics",1e+05,"TRY","Other","Fine","Python","Yes","10-25% of projects","5",5
"2001","Spain","Male",44,"Employed full-time","Telecommunications","Master's degree","Information technology, networking, or system administration",45000,"EUR","Data Analyst","Fine","R","Yes","51-75% of projects","3",3
"2002","Singapore","Male",46,"Employed full-time","Financial","Master's degree","Mathematics or statistics",240000,"SGD","Predictive Modeler","Fine","Python","No","Less than 10% of projects","8",8
"2003","South Africa","Male",46,"Employed full-time","Technology","Master's degree","Computer Science",960000,"ZAR","Software Developer/Software Engineer","Poorly","R","Yes","100% of projects","6",6
"2004","United Kingdom","Male",30,"Employed full-time","Financial","Master's degree","Physics",75000,"GBP","Machine Learning Engineer","Poorly","SQL","Sort of (Explain more)","10-25% of projects","7",7
"2005","United States","Male",50,"Employed full-time","Academic","Master's degree","Physics",110000,"USD","Researcher","Fine","Python","No","10-25% of projects","7",7
"2006","United States","Male",36,"Employed full-time","Other","Doctoral degree","Mathematics or statistics",120000,"USD","Software Developer/Software Engineer","Fine","Python","No","76-99% of projects","7",7
"2007","Japan","Male",27,"Employed full-time","Financial","Bachelor's degree","A social science",6e+06,"JPY","Software Developer/Software Engineer","Fine","Python","No","26-50% of projects","6",6
"2008","United States","Male",27,"Employed full-time","Academic","Doctoral degree","Physics",35000,"USD","Scientist/Researcher","Fine","Python","No","100% of projects","10 - Highly Satisfied",10
"2009","Malaysia","Male",45,"Employed full-time","Government","Bachelor's degree","Computer Science",160000,"MYR","Engineer","Poorly","Python","Yes","10-25% of projects","6",6
"2010","United States","Male",31,"Employed full-time","Other","Master's degree","Engineering (non-computer focused)",1e+05,"USD","Scientist/Researcher","Poorly","Python","Yes","76-99% of projects","5",5
"2011","United States","Male",53,"Employed full-time","Retail","Bachelor's degree","Engineering (non-computer focused)",115000,"USD","Software Developer/Software Engineer","Fine","SQL","Sort of (Explain more)","10-25% of projects","7",7
"2012","United States","Female",48,"Employed full-time","Government","Master's degree","Other",160000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","3",3
"2013","Colombia","Male",28,"Employed full-time","Financial","Master's degree","Engineering (non-computer focused)",7.8e+07,"COP","Business Analyst","Perfectly","R","Sort of (Explain more)","100% of projects","8",8
"2014","Canada","Male",28,"Employed full-time","Mix of fields","Bachelor's degree","Electrical Engineering",83000,"CAD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","76-99% of projects","8",8
"2015","United States","Male",57,"Employed full-time","Mix of fields","Master's degree","Fine arts or performing arts",160000,"USD","Software Developer/Software Engineer","Poorly","Python","Sort of (Explain more)","76-99% of projects","5",5
"2016","Other","Male",37,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","Computer Science",24000,"EUR","Software Developer/Software Engineer","Fine","Python","Yes","10-25% of projects","6",6
"2017","United States","Male",26,"Employed full-time","Telecommunications","Master's degree","Computer Science",50000,"USD","Engineer","Fine","R","Sort of (Explain more)","51-75% of projects","4",4
"2018","Ireland","Male",31,"Employed full-time","Telecommunications","Bachelor's degree","Engineering (non-computer focused)",45000,"EUR","DBA/Database Engineer","Fine","R","No","51-75% of projects","5",5
"2019","United Kingdom","Male",29,"Employed full-time","Academic","Master's degree","Computer Science",16000,"USD","Computer Scientist","Perfectly","Python","Yes","51-75% of projects","7",7
"2020","Other","Male",42,"Employed full-time","Academic","Master's degree","Information technology, networking, or system administration",2e+05,"MAD","Data Analyst","Poorly","R","Yes","51-75% of projects","5",5
"2021","France","Male",30,"Employed full-time","Manufacturing","Doctoral degree","Physics",48000,"EUR","Scientist/Researcher","Perfectly","Python","Yes","76-99% of projects","9",9
"2022","United States","Female",42,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Physics",120000,"USD","Other","Fine","R","Yes","100% of projects","10 - Highly Satisfied",10
"2023","Russia","Male",34,"Employed full-time","Telecommunications","Master's degree","Mathematics or statistics",2e+06,"RUB","Data Analyst","Fine","Python","Sort of (Explain more)","Less than 10% of projects","8",8
"2024","Portugal","Female",32,"Employed full-time","Telecommunications","Master's degree","Physics",45000,"EUR","Other","Poorly","Python","Yes","10-25% of projects","9",9
"2025","Hong Kong","Male",43,"Employed full-time","Other","Master's degree","Computer Science",7e+05,"HKD","Software Developer/Software Engineer","Perfectly","Python","Sort of (Explain more)","51-75% of projects","8",8
"2026","Brazil","Male",35,"Employed full-time","Government","Doctoral degree","A social science",90000,"USD","Statistician","Fine","R","Yes","Less than 10% of projects","3",3
"2027","Netherlands","Male",57,"Independent contractor, freelancer, or self-employed","Mix of fields","Doctoral degree","Management information systems",1e+05,"EUR","Predictive Modeler","Perfectly","Other","Yes","100% of projects","10 - Highly Satisfied",10
"2028","Canada","Male",36,"Employed part-time","Academic","Master's degree","Computer Science",50000,"CAD","Predictive Modeler","Fine","Python","Yes","100% of projects","3",3
"2029","United States","Female",49,"Employed full-time","Technology","Master's degree","Computer Science",2e+05,"USD","Other","Fine","R","Sort of (Explain more)","51-75% of projects","10 - Highly Satisfied",10
"2030","United States","Male",37,"Employed part-time","Academic","Master's degree","Computer Science",12000,"USD","Researcher","Fine","Python","No","Less than 10% of projects","6",6
"2031","Brazil","Male",26,"Employed full-time","Technology","Master's degree","Computer Science",104000,"BRL","Software Developer/Software Engineer","Fine","Python","No","76-99% of projects","4",4
"2032","India","Male",42,"Employed full-time","Technology","Bachelor's degree","Engineering (non-computer focused)",2600000,"INR","Other","Poorly","R","Yes","10-25% of projects","7",7
"2033","United Kingdom","Female",33,"Employed full-time","Other","Master's degree","Electrical Engineering",33000,"GBP","Data Analyst","Fine","R","Sort of (Explain more)","76-99% of projects","5",5
"2034","Brazil","Male",26,"Independent contractor, freelancer, or self-employed","Internet-based","Master's degree","Computer Science",40000,"BRL","Computer Scientist","Poorly","Python","No","76-99% of projects","5",5
"2035","United States","Male",51,"Employed full-time","Academic","Bachelor's degree","Other",1e+05,"USD","Other","Fine","Python","No","Less than 10% of projects","7",7
"2036","United States","Female",32,"Employed full-time","Mix of fields","Doctoral degree","Computer Science",60000,"USD","Researcher","Perfectly","Python","Sort of (Explain more)","100% of projects","10 - Highly Satisfied",10
"2037","United Kingdom","Male",55,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","A social science",105000,"GBP","Statistician","Fine","Python","Yes","10-25% of projects","7",7
"2038","Japan","Male",28,"Employed full-time","Technology","Bachelor's degree","Computer Science",3800000,"JPY","Engineer","Fine","Python","No","Less than 10% of projects","3",3
"2039","United States","Male",28,"Employed full-time","Other","Bachelor's degree","Information technology, networking, or system administration",105000,"USD","Business Analyst","Fine","SQL","No","76-99% of projects","9",9
"2040","Russia","Male",34,"Employed full-time","Financial","Bachelor's degree","Psychology",45000,"USD","Software Developer/Software Engineer","Fine","Python","No","None","8",8
"2041","United States","Male",30,"Employed full-time","Academic","Doctoral degree","Physics",50000,"USD","Scientist/Researcher","Perfectly","Python","Sort of (Explain more)","100% of projects","9",9
"2042","United States","Male",64,"Employed full-time","Mix of fields","Doctoral degree","Physics",180000,"USD","Other","Poorly","R","Sort of (Explain more)","Less than 10% of projects","8",8
"2043","Brazil","Male",40,"Employed full-time","Technology","Some college/university study without earning a bachelor's degree","Information technology, networking, or system administration",1e+05,"BRL","Machine Learning Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","8",8
"2044","United States","Male",41,"Employed full-time","Technology","Master's degree","Engineering (non-computer focused)",160000,"USD","Software Developer/Software Engineer","Fine","Python","Yes","26-50% of projects","8",8
"2045","United States","Male",35,"Independent contractor, freelancer, or self-employed","Other","Doctoral degree","Computer Science",80000,"USD","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","10 - Highly Satisfied",10
"2046","Netherlands","Male",35,"Employed full-time","Technology","Doctoral degree","Electrical Engineering",60000,"EUR","Scientist/Researcher","Perfectly","Python","Yes","76-99% of projects","8",8
"2047","United States","Male",47,"Employed full-time","Non-profit","Master's degree","Other",83000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","8",8
"2048","South Korea","Male",38,"Employed full-time","Hospitality/Entertainment/Sports","Bachelor's degree","Computer Science",6.6e+07,"KRW","Programmer","Poorly","Python","Yes","Less than 10% of projects","5",5
"2049","Taiwan","Male",26,"Employed full-time","Manufacturing","Master's degree","Computer Science",30000,"TWD","Machine Learning Engineer","Perfectly","Python","Yes","26-50% of projects","6",6
"2050","Mexico","Male",45,"Employed part-time","Technology","Doctoral degree","Computer Science",1000,"ALL","Computer Scientist","Fine","Python","Yes","Less than 10% of projects","5",5
"2051","Switzerland","Female",33,"Employed full-time","Academic","Master's degree","Computer Science",72000,"CHF","Scientist/Researcher","Perfectly","Python","Yes","76-99% of projects","9",9
"2052","Other","Male",35,"Employed full-time","Government","Doctoral degree","Computer Science",30000,"EUR","Engineer","Poorly","Python","Sort of (Explain more)","Less than 10% of projects","3",3
"2053","United Kingdom","Male",46,"Independent contractor, freelancer, or self-employed","Non-profit","Bachelor's degree","Psychology",80000,"GBP","Software Developer/Software Engineer","Fine","Java","No","100% of projects","9",9
"2054","United States","Male",30,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",56000,"USD","Scientist/Researcher","Fine","Python","No","10-25% of projects","8",8
"2055","United States","Male",42,"Employed full-time","Financial","Master's degree","A humanities discipline",172000,"USD","Other","Fine","Python","Sort of (Explain more)","51-75% of projects","2",2
"2056","United States","Male",30,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","Computer Science",239000,"USD","Engineer","Poorly","Python","Sort of (Explain more)","100% of projects","8",8
"2057","United States","Male",28,"Employed full-time","Academic","Master's degree","Computer Science",30000,"USD","Researcher","Fine","Python","Yes","10-25% of projects","7",7
"2058","United States","Male",25,"Independent contractor, freelancer, or self-employed","Hospitality/Entertainment/Sports","Bachelor's degree","Computer Science",90000,"USD","Computer Scientist","Fine","Python","Yes","76-99% of projects","6",6
"2059","United States","Male",57,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",85000,"USD","Researcher","Poorly","R","Yes","76-99% of projects","3",3
"2060","Spain","Male",39,"Employed full-time","Other","Master's degree","Computer Science",33000,"EUR","DBA/Database Engineer","Perfectly","Python","Yes","Less than 10% of projects","4",4
"2061","United States","Male",36,"Employed full-time","Academic","Doctoral degree","Fine arts or performing arts",94000,"USD","Researcher","Poorly","R","Yes","76-99% of projects","10 - Highly Satisfied",10
"2062","Brazil","Male",25,"Employed full-time","Other","Bachelor's degree","Other",130000,"BRL","Data Analyst","Perfectly","Python","Sort of (Explain more)","100% of projects","8",8
"2063","Italy","Female",57,"Employed full-time","Government","Master's degree","A health science",45000,"EUR","Other","Perfectly","R","Yes","100% of projects","8",8
"2064","Japan","Male",34,"Employed full-time","Technology","Master's degree","Information technology, networking, or system administration",8500000,"JPY","Software Developer/Software Engineer","Fine","Python","No","Less than 10% of projects","6",6
"2065","Portugal","Male",78,"Independent contractor, freelancer, or self-employed","Academic","Doctoral degree","Electrical Engineering",63000,"EUR","Researcher","Perfectly","C/C++/C#","Sort of (Explain more)","76-99% of projects","5",5
"2066","United States","Male",43,"Independent contractor, freelancer, or self-employed","Mix of fields","Bachelor's degree","A social science",75000,"USD","Data Miner","Poorly","Python","Yes","Less than 10% of projects","8",8
"2067","Malaysia","Male",42,"Employed full-time","Academic","Doctoral degree","Physics",160000,"MYR","Scientist/Researcher","Fine","Python","No","76-99% of projects","6",6
"2068","United States","Female",30,"Employed full-time","Academic","Doctoral degree","Computer Science",107000,"USD","Other","Perfectly","Python","Yes","51-75% of projects","9",9
"2069","Colombia","Male",62,"Employed full-time","Academic","Doctoral degree","Electrical Engineering",1.5e+08,"COP","Researcher","Fine","C/C++/C#","Yes","100% of projects","8",8
"2070","Brazil","Male",29,"Employed full-time","Pharmaceutical","Bachelor's degree","Management information systems",18000,"BRL","Business Analyst","Fine","Python","No","10-25% of projects","6",6
"2071","Israel","Male",41,"Employed full-time","Other","Master's degree","Electrical Engineering",110000,"USD","Other","Perfectly","Python","No","51-75% of projects","7",7
"2072","Poland","Male",33,"Employed full-time","Internet-based","Master's degree","Mathematics or statistics",50000,"USD","Engineer","Fine","Python","No","26-50% of projects","3",3
"2073","United States","Male",47,"Employed full-time","Mix of fields","Bachelor's degree","Electrical Engineering",102759,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","7",7
"2074","India","Male",23,"Employed full-time","Financial","Bachelor's degree","Electrical Engineering",1200000,"INR","Software Developer/Software Engineer","Fine","C/C++/C#","No","10-25% of projects","5",5
"2075","People 's Republic of China","Male",41,"Employed full-time","Academic","Doctoral degree","Computer Science",120000,"CNY","Computer Scientist","Fine","Python","Yes","26-50% of projects","5",5
"2076","United States","Female",34,"Employed full-time","Academic","Doctoral degree","Fine arts or performing arts",50000,"USD","Data Analyst","Fine","Python","Yes","26-50% of projects","4",4
"2077","United States","Male",45,"Employed full-time","Financial","Master's degree","Mathematics or statistics",3e+05,"USD","Software Developer/Software Engineer","Poorly","R","Sort of (Explain more)","26-50% of projects","6",6
"2078","United Kingdom","Male",26,"Employed full-time","Military/Security","Bachelor's degree","Mathematics or statistics",36000,"GBP","Business Analyst","Fine","Python","Sort of (Explain more)","10-25% of projects","7",7
"2079","Taiwan","Male",35,"Employed full-time","Technology","Doctoral degree","Computer Science",84,"TWD","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","7",7
"2080","United States","Male",27,"Employed full-time","Financial","Bachelor's degree","Mathematics or statistics",120000,"USD","Other","Fine","Python","Sort of (Explain more)","51-75% of projects","5",5
"2081","India","Male",29,"Employed full-time","Mix of fields","Bachelor's degree","Electrical Engineering",60,"INR","Data Analyst","Fine","Python","No","51-75% of projects","4",4
"2082","United Kingdom","Male",47,"Independent contractor, freelancer, or self-employed","Internet-based","Doctoral degree","Physics",1e+05,"GBP","Scientist/Researcher","Perfectly","Python","No","100% of projects","10 - Highly Satisfied",10
"2083","United States","Male",28,"Employed full-time","Mix of fields","Bachelor's degree","Mathematics or statistics",75000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","100% of projects","5",5
"2084","Argentina","Male",40,"Independent contractor, freelancer, or self-employed","Technology","Bachelor's degree","Information technology, networking, or system administration",45000,"USD","Business Analyst","Fine","Python","Yes","51-75% of projects","3",3
"2085","India","Male",42,"Employed full-time","Technology","Master's degree","Engineering (non-computer focused)",1e+05,"INR","Other","Perfectly","Python","No","100% of projects","5",5
"2086","Russia","Male",46,"Independent contractor, freelancer, or self-employed","Academic","Doctoral degree","Management information systems",350000,"PAB","Scientist/Researcher","Perfectly","R","Yes","51-75% of projects","8",8
"2087","Canada","Female",28,"Employed full-time","Academic","Master's degree","Physics",20000,"CAD","Scientist/Researcher","Perfectly","Python","Yes","100% of projects","5",5
"2088","France","Male",50,"Employed full-time","Academic","Doctoral degree","Computer Science",65000,"EUR","Scientist/Researcher","Fine","Python","Yes","100% of projects","7",7
"2089","South Africa","Male",26,"Employed full-time","Other","Bachelor's degree","Mathematics or statistics",270000,"ZAR","Data Analyst","Fine","Python","No","51-75% of projects","4",4
"2090","United States","Male",35,"Employed full-time","Insurance","Bachelor's degree","Mathematics or statistics",180000,"USD","Other","Fine","R","Yes","51-75% of projects","8",8
"2091","Other","Male",28,"Employed full-time","Internet-based","Master's degree","Mathematics or statistics",45000,"EUR","Data Analyst","Fine","R","No","76-99% of projects","8",8
"2092","United States","Male",55,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",150000,"USD","Researcher","Fine","Python","No","51-75% of projects","9",9
"2093","Brazil","Male",38,"Independent contractor, freelancer, or self-employed","Internet-based","Bachelor's degree","Computer Science",2e+05,"BRL","Data Analyst","Fine","Python","Yes","10-25% of projects","10 - Highly Satisfied",10
"2094","United States","Male",33,"Employed full-time","Other","Bachelor's degree","Computer Science",110000,"USD","Data Analyst","Poorly","Python","Sort of (Explain more)","76-99% of projects","9",9
"2095","Spain","Male",44,"Employed full-time","Government","Master's degree","Computer Science",20000,"EUR","Programmer","Fine","Python","No","Less than 10% of projects","1 - Highly Dissatisfied",1
"2096","United States","Male",41,"Employed full-time","Academic","Doctoral degree","Biology",79000,"USD","Statistician","Fine","R","Yes","26-50% of projects","8",8
"2097","United States","Female",33,"Employed full-time","Academic","Doctoral degree","Biology",20000,"USD","Scientist/Researcher","Perfectly","Python","Yes","100% of projects","8",8
"2098","United States","Male",40,"Employed full-time","Non-profit","Master's degree","A humanities discipline",64000,"USD","Scientist/Researcher","Poorly","Python","Sort of (Explain more)","51-75% of projects","1 - Highly Dissatisfied",1
"2099","Singapore","Male",33,"Employed full-time","Financial","Bachelor's degree","Electrical Engineering",102000,"SGD","DBA/Database Engineer","Poorly","Python","Sort of (Explain more)","10-25% of projects","5",5
"2100","Brazil","Male",30,"Employed full-time","Technology","Doctoral degree","Computer Science",3600,"BRL","Machine Learning Engineer","Fine","R","Yes","51-75% of projects","8",8
