Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction
United States,Male,38,Employed full-time,Mix of fields,Master's degree,Computer Science,140000,USD,Other,Fine,Python,Yes,76-99% of projects,8
India,Male,28,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),375000,INR,Business Analyst,Fine,SAS,No,76-99% of projects,7
Canada,Male,35,Employed full-time,Academic,Doctoral degree,Other,35000,CAD,Scientist/Researcher,Perfectly,Python,No,Less than 10% of projects,8
United States,Female,29,Employed full-time,Academic,Master's degree,Psychology,30000,USD,Researcher,Fine,SQL,Sort of (Explain more),10-25% of projects,8
Republic of China,Male,26,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),30000,USD,Computer Scientist,Perfectly,SQL,Yes,10-25% of projects,8
Germany,Male,34,Employed full-time,Other,Doctoral degree,Computer Science,62000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,7
India,Male,23,Employed part-time,Mix of fields,Bachelor's degree,Electrical Engineering,600000,INR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6
United States,Male,38,Employed full-time,Telecommunications,Master's degree,Computer Science,140000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8
Italy,Male,22,"Independent contractor, freelancer, or self-employed",Academic,Bachelor's degree,Computer Science,30000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,7
United States,Male,51,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Other,135000,USD,Machine Learning Engineer,Poorly,Python,Yes,100% of projects,10 - Highly Satisfied
Mexico,Male,27,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),12000,MXN,Business Analyst,Fine,R,Sort of (Explain more),100% of projects,10 - Highly Satisfied
United States,Male,51,Employed full-time,Academic,Bachelor's degree,Other,125000,USD,Other,Fine,Python,No,10-25% of projects,7
Norway,Male,31,Employed full-time,Financial,Master's degree,Engineering (non-computer focused),600000,NOK,Data Analyst,Fine,R,Yes,Less than 10% of projects,7
Argentina,Male,25,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",546000,ARS,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,8
United States,Male,28,Employed full-time,Retail,Master's degree,Electrical Engineering,175000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,8
United States,Male,26,Employed full-time,Internet-based,Master's degree,Management information systems,100000,USD,Machine Learning Engineer,Fine,Python,No,Less than 10% of projects,1 - Highly Dissatisfied
Mexico,Male,41,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,100000,USD,Scientist/Researcher,Perfectly,R,No,10-25% of projects,9
United States,Male,47,Employed full-time,Academic,I prefer not to answer,Electrical Engineering,50000,USD,Computer Scientist,Perfectly,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied
Brazil,Male,23,Employed full-time,Academic,Bachelor's degree,"Information technology, networking, or system administration",18000,BRL,Scientist/Researcher,Perfectly,Python,Yes,76-99% of projects,8
Mexico,Male,39,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,44000,MXN,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,8
United States,Male,33,Employed full-time,Academic,Bachelor's degree,Engineering (non-computer focused),72500,USD,Data Analyst,Fine,R,No,76-99% of projects,5
United States,Male,55,Employed full-time,Internet-based,Doctoral degree,Electrical Engineering,185000,USD,Machine Learning Engineer,Fine,SQL,Yes,51-75% of projects,6
United States,Male,31,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,140000,USD,Programmer,Fine,R,No,26-50% of projects,7
United Kingdom,Male,36,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,27000,GBP,Data Analyst,Fine,R,Sort of (Explain more),26-50% of projects,8
United States,Male,37,Employed full-time,Technology,Master's degree,Other,78000,USD,Scientist/Researcher,Perfectly,Python,Yes,76-99% of projects,8
Brazil,Male,30,Employed full-time,Financial,Master's degree,Computer Science,53756,BRL,Machine Learning Engineer,Fine,Python,Sort of (Explain more),100% of projects,6
India,Male,23,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,740000,INR,Business Analyst,Fine,Python,Yes,10-25% of projects,8
United States,Female,27,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,60000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,5
Spain,Male,26,Employed full-time,Other,Master's degree,Engineering (non-computer focused),35000,EUR,Data Analyst,Fine,R,Sort of (Explain more),Less than 10% of projects,7
United States,Male,40,Employed full-time,Academic,Master's degree,Computer Science,130000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,10-25% of projects,6
India,Male,26,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,45000,INR,Business Analyst,Fine,Python,No,10-25% of projects,8
United States,Female,37,Employed full-time,Technology,Master's degree,A social science,56000,USD,Data Analyst,Fine,R,Sort of (Explain more),26-50% of projects,7
United States,Male,23,Employed full-time,Academic,Bachelor's degree,Biology,45000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,5
United States,Male,40,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),150000,USD,Machine Learning Engineer,Perfectly,Python,Yes,None,3
United States,"Non-binary, genderqueer, or gender non-conforming",32,"Independent contractor, freelancer, or self-employed",Hospitality/Entertainment/Sports,Master's degree,A social science,5000,USD,Software Developer/Software Engineer,Fine,R,Sort of (Explain more),Less than 10% of projects,5
Canada,Female,27,Employed part-time,Academic,Master's degree,Computer Science,30000,CAD,Data Analyst,Perfectly,SQL,No,100% of projects,9
Portugal,Male,39,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),18000,EUR,Scientist/Researcher,Poorly,R,Yes,51-75% of projects,8
United States,Male,44,Employed full-time,Telecommunications,Doctoral degree,Engineering (non-computer focused),120000,CAD,Software Developer/Software Engineer,Poorly,Python,Yes,76-99% of projects,8
United States,Male,32,Employed full-time,Other,Doctoral degree,Other,140000,USD,Operations Research Practitioner,Fine,R,Yes,76-99% of projects,8
Canada,Male,26,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,80000,CAD,Researcher,Poorly,Python,No,51-75% of projects,7
Other,A different identity,25,Employed full-time,Internet-based,I prefer not to answer,A health science,25000000,ETB,Operations Research Practitioner,Fine,Stata,Yes,76-99% of projects,10 - Highly Satisfied
United States,Male,30,Employed full-time,Internet-based,Bachelor's degree,A social science,110000,USD,Data Analyst,Perfectly,R,Yes,76-99% of projects,7
India,Male,37,Employed full-time,Technology,Bachelor's degree,Other,2200000,INR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,5
Iran,Male,27,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Computer Science,0,IRR,Computer Scientist,Fine,Python,Sort of (Explain more),51-75% of projects,I prefer not to share
Finland,Male,37,Employed full-time,Technology,Doctoral degree,"Information technology, networking, or system administration",100000,EUR,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,6
United States,Male,29,Employed part-time,Academic,Master's degree,Electrical Engineering,25000,USD,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),Less than 10% of projects,5
United States,Male,29,Employed full-time,Retail,Master's degree,A social science,66000,USD,Data Analyst,Fine,Python,No,76-99% of projects,8
India,Male,23,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,400000,INR,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,6
United States,Female,56,Employed full-time,Academic,Doctoral degree,Physics,80000,USD,Researcher,Fine,Python,Yes,100% of projects,7
India,Male,29,Employed full-time,Pharmaceutical,Master's degree,Electrical Engineering,700000,INR,Data Analyst,Perfectly,Python,Yes,100% of projects,7
Germany,Male,53,Employed full-time,Technology,Doctoral degree,Physics,60000,EUR,Software Developer/Software Engineer,Perfectly,Python,Yes,10-25% of projects,I prefer not to share
Canada,Male,36,Employed full-time,Technology,Bachelor's degree,Computer Science,150000,CAD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6
Pakistan,Male,33,Employed full-time,Academic,Master's degree,Computer Science,60000,PKR,Researcher,Perfectly,Python,Yes,26-50% of projects,10 - Highly Satisfied
Brazil,Female,38,Employed full-time,Academic,Doctoral degree,Computer Science,35000,USD,Scientist/Researcher,Fine,R,Yes,10-25% of projects,7
Germany,Male,41,Employed full-time,Retail,Bachelor's degree,Management information systems,78000,EUR,Data Miner,Perfectly,R,Yes,100% of projects,9
United States,"Non-binary, genderqueer, or gender non-conforming",28,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Mathematics or statistics,30000,USD,Statistician,Fine,Python,Sort of (Explain more),76-99% of projects,4
United States,Male,27,Employed full-time,Academic,Doctoral degree,Biology,105000,USD,Scientist/Researcher,Perfectly,Python,Yes,51-75% of projects,6
United States,Male,35,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Other,92000,USD,Machine Learning Engineer,Perfectly,Python,No,Less than 10% of projects,10 - Highly Satisfied
Other,Male,46,Employed full-time,Technology,Master's degree,Electrical Engineering,25000,MAD,Operations Research Practitioner,Poorly,R,No,76-99% of projects,7
United States,Male,33,Employed full-time,Technology,Master's degree,Mathematics or statistics,115000,USD,Statistician,Fine,Python,Yes,10-25% of projects,7
United States,Male,23,Employed full-time,Manufacturing,Bachelor's degree,Mathematics or statistics,50000,USD,Machine Learning Engineer,Fine,Python,Yes,100% of projects,3
United States,Female,35,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,50000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),100% of projects,3
United States,Male,44,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),88000,USD,Other,Perfectly,Matlab,Yes,100% of projects,8
Italy,Male,27,Employed full-time,Military/Security,Master's degree,Computer Science,30000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,5
Finland,Male,26,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",30000,EUR,Other,Fine,R,No,100% of projects,7
Chile,Male,28,Employed part-time,CRM/Marketing,Master's degree,Computer Science,6000000,CLP,Researcher,Fine,Python,No,51-75% of projects,3
Switzerland,Male,32,Employed full-time,Insurance,Doctoral degree,A humanities discipline,100000,CHF,Data Analyst,Fine,Python,Yes,76-99% of projects,8
Italy,Male,30,Employed full-time,Internet-based,Doctoral degree,Computer Science,25000,EUR,Scientist/Researcher,Fine,Python,Yes,Less than 10% of projects,8
Brazil,Male,32,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Other,38400,BRL,Other,Fine,Python,No,26-50% of projects,8
Mexico,Male,37,Employed full-time,Technology,Master's degree,Mathematics or statistics,50000,USD,Scientist/Researcher,Perfectly,Julia,Sort of (Explain more),51-75% of projects,7
United States,Male,51,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,100000,USD,Statistician,Fine,Python,Yes,26-50% of projects,7
United States,Male,27,Employed full-time,Financial,Master's degree,Mathematics or statistics,145000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,5
France,Male,50,Employed full-time,Other,Master's degree,Physics,90000,EUR,Other,Fine,Python,Yes,26-50% of projects,8
Brazil,Male,38,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,110000,BRL,Statistician,Perfectly,SQL,Yes,51-75% of projects,10 - Highly Satisfied
Other,Male,25,Employed full-time,Academic,Bachelor's degree,Computer Science,6000,USD,DBA/Database Engineer,Fine,Python,Yes,10-25% of projects,1 - Highly Dissatisfied
Canada,Male,25,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,67000,CAD,Business Analyst,Poorly,Python,Sort of (Explain more),10-25% of projects,5
Canada,Male,24,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,80000,CAD,Data Analyst,Fine,Python,No,26-50% of projects,7
United States,Female,36,Employed full-time,Academic,Doctoral degree,Other,140000,USD,Other,Perfectly,Python,Yes,51-75% of projects,8
United States,Female,41,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),120000,USD,Data Analyst,Poorly,R,Sort of (Explain more),26-50% of projects,3
United States,Male,45,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,122000,USD,Scientist/Researcher,Fine,R,Yes,100% of projects,6
France,Male,35,Employed full-time,Technology,Doctoral degree,"Information technology, networking, or system administration",60,EUR,Machine Learning Engineer,Fine,Python,No,Less than 10% of projects,6
United States,Male,31,Employed full-time,Academic,Doctoral degree,Biology,50000,USD,Scientist/Researcher,Perfectly,R,Yes,26-50% of projects,6
Germany,Male,41,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,90000,EUR,Statistician,Perfectly,R,Sort of (Explain more),76-99% of projects,9
Brazil,Male,28,Employed full-time,CRM/Marketing,Bachelor's degree,Mathematics or statistics,85,BRL,Other,Perfectly,Python,Sort of (Explain more),76-99% of projects,9
Other,Male,40,Employed full-time,Pharmaceutical,Doctoral degree,Biology,79000,GBP,Statistician,Fine,Python,Sort of (Explain more),100% of projects,7
Poland,Male,34,Employed full-time,Financial,Master's degree,Mathematics or statistics,144000,PLN,Business Analyst,Fine,R,Sort of (Explain more),10-25% of projects,7
United States,Female,24,Employed full-time,Non-profit,Master's degree,A humanities discipline,70000,USD,Statistician,Fine,SAS,Sort of (Explain more),10-25% of projects,6
United States,Male,24,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Mathematics or statistics,130000,USD,Scientist/Researcher,Poorly,Haskell,Yes,10-25% of projects,6
United States,Female,28,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Psychology,34000,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,5
Other,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,150000,LKR,Scientist/Researcher,Fine,R,Sort of (Explain more),26-50% of projects,8
Pakistan,Male,27,Employed full-time,Insurance,Master's degree,Mathematics or statistics,1800000,PKR,Data Analyst,Fine,SQL,Yes,26-50% of projects,4
Chile,Male,32,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),25900000,CLP,Business Analyst,Fine,SQL,No,51-75% of projects,10 - Highly Satisfied
United States,Male,38,Employed full-time,Other,Master's degree,Physics,300000,USD,Data Analyst,Fine,Python,Yes,51-75% of projects,8
United States,Male,27,Employed full-time,Academic,Bachelor's degree,Other,29000,USD,Scientist/Researcher,Fine,Python,Yes,76-99% of projects,8
Russia,Male,23,Employed full-time,Government,Bachelor's degree,Computer Science,35000,RUB,Programmer,Fine,Python,Yes,10-25% of projects,6
Mexico,Male,37,Employed full-time,Manufacturing,Master's degree,"Information technology, networking, or system administration",500000,MXN,Data Analyst,Poorly,R,Yes,76-99% of projects,4
Australia,Male,40,Employed full-time,Government,Bachelor's degree,Physics,250000,AUD,Other,Poorly,R,Yes,100% of projects,7
Netherlands,Male,35,"Independent contractor, freelancer, or self-employed",Internet-based,Master's degree,Electrical Engineering,95000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,7
Czech Republic,Male,30,Employed part-time,Academic,Master's degree,Computer Science,360000,CZK,Software Developer/Software Engineer,Poorly,Python,No,Less than 10% of projects,6
Philippines,"Non-binary, genderqueer, or gender non-conforming",26,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Mathematics or statistics,715000,PHP,Predictive Modeler,Fine,Python,No,76-99% of projects,6
United States,Male,59,Employed full-time,Other,Master's degree,A social science,83000,USD,Data Analyst,Fine,Python,Sort of (Explain more),Less than 10% of projects,7
Australia,Male,38,Employed full-time,CRM/Marketing,Master's degree,Psychology,115000,AUD,Scientist/Researcher,Fine,R,Sort of (Explain more),100% of projects,3
Japan,Male,27,Employed full-time,Technology,Master's degree,Other,3600000,JPY,Engineer,Poorly,R,Sort of (Explain more),76-99% of projects,3
United States,Male,54,Employed full-time,Mix of fields,Master's degree,Computer Science,180000,USD,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,8
Mexico,Male,34,Employed full-time,Academic,Doctoral degree,Computer Science,300000,MXN,Computer Scientist,Perfectly,Python,Sort of (Explain more),Less than 10% of projects,7
United States,Male,43,Employed full-time,Technology,Bachelor's degree,Computer Science,195000,USD,Software Developer/Software Engineer,Perfectly,Python,No,100% of projects,7
United States,Male,33,Employed full-time,Government,Bachelor's degree,A social science,112000,USD,Business Analyst,Fine,R,No,51-75% of projects,4
United States,Male,29,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),100000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied
United States,Female,32,Employed full-time,Other,Master's degree,Engineering (non-computer focused),125000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),None,4
India,Male,36,Employed full-time,Financial,Master's degree,Computer Science,1700000,INR,Predictive Modeler,Fine,R,No,10-25% of projects,4
United States,"Non-binary, genderqueer, or gender non-conforming",51,Employed full-time,Government,Bachelor's degree,Other,42000,USD,Other,Poorly,Python,Sort of (Explain more),51-75% of projects,5
United States,Male,50,Employed full-time,Technology,Master's degree,Electrical Engineering,155000,USD,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,8
Australia,Male,52,Employed full-time,Academic,Doctoral degree,Other,180000,AUD,Scientist/Researcher,Perfectly,R,No,26-50% of projects,7
Japan,Male,49,Employed full-time,Mix of fields,Doctoral degree,Computer Science,4000000,JPY,Programmer,Poorly,Python,Yes,Less than 10% of projects,1 - Highly Dissatisfied
Other,Male,25,Employed full-time,Retail,Master's degree,Electrical Engineering,800000,VEF,Data Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,7
Colombia,Male,22,Employed part-time,Academic,Bachelor's degree,Computer Science,14000000,COP,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,8
United States,Male,42,Employed full-time,Insurance,Master's degree,Other,95000,USD,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,7
Russia,Female,45,Employed full-time,Academic,Doctoral degree,Physics,30000,RUB,Researcher,Fine,Python,Yes,100% of projects,7
United States,Male,51,Employed full-time,Other,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",150000,USD,Programmer,Poorly,Python,Sort of (Explain more),51-75% of projects,9
India,Male,54,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),1400000,INR,Other,Perfectly,Python,Yes,10-25% of projects,3
United States,Male,23,Employed full-time,Other,Bachelor's degree,A social science,50000,USD,Data Analyst,Perfectly,R,No,None,7
United States,Male,45,Employed full-time,Government,Doctoral degree,Electrical Engineering,100,USD,Computer Scientist,Perfectly,Python,Yes,26-50% of projects,10 - Highly Satisfied
Australia,Male,42,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,105000,AUD,Other,Poorly,R,No,10-25% of projects,4
Singapore,Male,40,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),140000,SGD,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,6
United States,Male,40,Employed full-time,Internet-based,Master's degree,Engineering (non-computer focused),2500000,USD,Business Analyst,Fine,Python,Yes,51-75% of projects,7
Brazil,Male,39,Employed full-time,Academic,Doctoral degree,Computer Science,150000,BRL,Computer Scientist,Fine,Python,Yes,Less than 10% of projects,7
Brazil,Male,64,"Independent contractor, freelancer, or self-employed",Government,Doctoral degree,Electrical Engineering,65000,BRL,Business Analyst,Fine,Python,No,100% of projects,3
United States,Male,36,Employed full-time,Insurance,Bachelor's degree,Electrical Engineering,91000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,4
Taiwan,Male,45,Employed full-time,Non-profit,Doctoral degree,Engineering (non-computer focused),42000,USD,Researcher,Fine,Other,Sort of (Explain more),76-99% of projects,3
Australia,Male,32,Employed full-time,Academic,Doctoral degree,Other,30000,AUD,Scientist/Researcher,Fine,Python,No,76-99% of projects,7
Japan,Male,27,Employed part-time,Academic,Master's degree,Psychology,120,JPY,Scientist/Researcher,Fine,R,Yes,10-25% of projects,3
United States,Male,22,Employed full-time,Financial,Bachelor's degree,Computer Science,200000,USD,Predictive Modeler,Fine,C/C++/C#,Sort of (Explain more),76-99% of projects,10 - Highly Satisfied
New Zealand,Male,28,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,72000,NZD,Data Analyst,Poorly,R,Yes,76-99% of projects,5
People 's Republic of China,Male,28,Employed full-time,Internet-based,Master's degree,Computer Science,400000,CNY,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,6
Japan,Male,28,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,5500000,JPY,Software Developer/Software Engineer,Poorly,Python,No,51-75% of projects,3
Taiwan,Male,45,Employed full-time,Technology,Master's degree,Computer Science,1500000,TWD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,3
India,Male,33,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Computer Science,1850000,INR,Other,Fine,R,Sort of (Explain more),None,5
Ukraine,Male,26,Employed full-time,Financial,Master's degree,Computer Science,24000,USD,Software Developer/Software Engineer,Fine,Python,No,Less than 10% of projects,7
Philippines,Male,25,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),20000,PHP,Software Developer/Software Engineer,Fine,R,No,None,7
United States,Male,61,Employed full-time,Manufacturing,Bachelor's degree,Mathematics or statistics,85000,USD,Other,Poorly,SQL,Yes,100% of projects,4
People 's Republic of China,Male,34,Employed full-time,Academic,Doctoral degree,Computer Science,80000,CNY,Researcher,Fine,Python,Yes,Less than 10% of projects,6
Australia,Male,26,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),84000,AUD,Data Analyst,Poorly,Python,No,76-99% of projects,4
Pakistan,A different identity,30,Employed part-time,Academic,Master's degree,Computer Science,50000,PKR,Other,Fine,Matlab,Yes,26-50% of projects,5
India,Male,22,Employed full-time,Technology,Bachelor's degree,Computer Science,180000,INR,Data Analyst,Perfectly,SQL,No,51-75% of projects,7
Philippines,Male,49,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),25000,USD,Computer Scientist,Perfectly,Matlab,Yes,10-25% of projects,1 - Highly Dissatisfied
India,Male,25,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",400000,INR,DBA/Database Engineer,Poorly,Python,Sort of (Explain more),26-50% of projects,2
India,Female,23,Employed full-time,Technology,Bachelor's degree,Computer Science,350000,INR,Data Analyst,Perfectly,R,Sort of (Explain more),100% of projects,8
India,Male,50,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Mathematics or statistics,1800000,INR,Statistician,Fine,R,Sort of (Explain more),10-25% of projects,6
United States,Male,30,Employed full-time,Manufacturing,Bachelor's degree,Computer Science,67000,USD,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,3
Japan,Male,41,Employed full-time,Academic,Doctoral degree,Physics,7500000,JPY,Scientist/Researcher,Fine,Python,No,Less than 10% of projects,7
India,Male,25,Employed full-time,Military/Security,Master's degree,Other,45000,INR,Software Developer/Software Engineer,Fine,Matlab,Yes,51-75% of projects,I prefer not to share
India,Female,32,Employed full-time,Technology,Master's degree,Mathematics or statistics,55000,INR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,9
Germany,Male,56,Employed full-time,Pharmaceutical,Master's degree,Mathematics or statistics,170000,EUR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,6
India,Female,36,Employed full-time,Academic,Master's degree,Computer Science,50000,RSD,Researcher,Fine,R,No,51-75% of projects,5
India,Female,37,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,450000,INR,Researcher,Fine,Python,Yes,26-50% of projects,3
United States,Male,24,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,80000,USD,DBA/Database Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,9
Australia,Female,35,Employed full-time,Academic,Doctoral degree,Management information systems,110000,AUD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,6
Canada,Male,28,Employed full-time,Academic,Doctoral degree,Computer Science,12000,CAD,Computer Scientist,Fine,Python,Yes,Less than 10% of projects,7
Russia,Male,30,Employed full-time,Financial,Master's degree,"Information technology, networking, or system administration",30000,USD,Predictive Modeler,Fine,Python,Yes,10-25% of projects,2
United States,Male,40,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Electrical Engineering,300000,USD,Software Developer/Software Engineer,Poorly,R,Sort of (Explain more),26-50% of projects,8
Pakistan,Female,42,Employed full-time,Academic,Master's degree,Computer Science,103500,PKR,Machine Learning Engineer,Fine,R,Sort of (Explain more),Less than 10% of projects,1 - Highly Dissatisfied
France,Male,36,Employed full-time,Academic,Doctoral degree,Other,30000,EUR,Computer Scientist,Perfectly,Python,Yes,76-99% of projects,8
Other,Male,32,Employed full-time,Non-profit,Master's degree,Computer Science,676000,THB,Data Analyst,Fine,Python,Sort of (Explain more),Less than 10% of projects,6
India,Male,33,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),3500000,INR,Statistician,Poorly,Python,Yes,10-25% of projects,8
Argentina,Female,28,Employed full-time,Retail,Master's degree,Physics,70000,AZN,Engineer,Poorly,C/C++/C#,Sort of (Explain more),51-75% of projects,1 - Highly Dissatisfied
People 's Republic of China,Male,26,Employed full-time,Financial,Bachelor's degree,Computer Science,400000,CNY,Machine Learning Engineer,Fine,Python,No,Less than 10% of projects,4
Australia,Male,40,Employed full-time,Retail,Master's degree,Other,150000,AUD,Business Analyst,Fine,SQL,Yes,100% of projects,5
Belarus,Male,31,Employed full-time,Financial,Bachelor's degree,"Information technology, networking, or system administration",40000,USD,Other,Fine,R,No,76-99% of projects,7
Spain,Male,30,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",26000,EUR,Data Analyst,Fine,Python,No,100% of projects,6
France,Male,27,Employed full-time,Academic,Master's degree,Mathematics or statistics,30000,EUR,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,7
Finland,Male,53,Employed full-time,Academic,Master's degree,Physics,60000,EUR,Other,Fine,R,Yes,100% of projects,8
Australia,Male,25,Employed full-time,Internet-based,Bachelor's degree,A social science,120000,AUD,Data Analyst,Fine,Python,Yes,51-75% of projects,8
Germany,Male,27,Employed full-time,Other,Master's degree,Engineering (non-computer focused),65000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,6
Norway,Male,34,Employed full-time,Other,Bachelor's degree,Management information systems,540000,NOK,Data Analyst,Fine,Python,No,51-75% of projects,6
Kenya,Male,26,"Independent contractor, freelancer, or self-employed",Manufacturing,Bachelor's degree,Engineering (non-computer focused),30000,KES,Engineer,Fine,C/C++/C#,Yes,Less than 10% of projects,3
India,Female,27,Employed full-time,Mix of fields,Master's degree,Physics,0,INR,Other,Fine,Python,Sort of (Explain more),10-25% of projects,7
Japan,Male,40,Employed full-time,Technology,Bachelor's degree,Computer Science,75000,USD,Data Analyst,Fine,Scala,No,10-25% of projects,5
Other,Male,50,Employed full-time,Academic,Doctoral degree,"Information technology, networking, or system administration",20000,EUR,Scientist/Researcher,Fine,SAS,Yes,26-50% of projects,8
India,Male,41,Employed full-time,Mix of fields,Master's degree,Computer Science,3000000,INR,Researcher,Poorly,Python,Yes,76-99% of projects,3
United Kingdom,Male,30,Employed full-time,Technology,Master's degree,Other,75000,GBP,Software Developer/Software Engineer,Fine,Python,No,100% of projects,6
India,Male,26,Employed full-time,Technology,Master's degree,Electrical Engineering,450000,INR,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,6
Hungary,Male,54,Employed full-time,Academic,Doctoral degree,Other,6400000,HUF,Engineer,Fine,R,Yes,26-50% of projects,4
Germany,Male,51,Employed full-time,Academic,Doctoral degree,Management information systems,60000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,6
